"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","3747","0.0-0.0","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","17592","0.0-1.0","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","13812.659999995958","text/information.html","","","","","","","","","","","","",""
"","external-html","2","30211","0.0-2.0","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","12546.080000000075","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","94709","0.0-3.0","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","64493.98500000825","","{""codeword_enter"":""er06us26""}","","","","","","","","","","","",""
"","survey-html-form","4","115534","0.0-4.0","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","20821.994999991148","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","119103","0.0-5.0","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","3563.3249999955297","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","123109","0.0-6.0-0.0-0.0","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","7","125613","0.0-6.0-0.0-0.1","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","8","128119","0.0-6.0-0.0-0.2","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","9","130621","0.0-6.0-0.0-0.3","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","10","133125","0.0-6.0-0.0-0.4","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","11","135629","0.0-6.0-0.0-0.5","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","12","138132","0.0-6.0-0.0-0.6","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","13","140635","0.0-6.0-0.0-0.7","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","14","143139","0.0-6.0-0.0-0.8","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","15","145643","0.0-6.0-0.0-0.9","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","16","148147","0.0-6.0-0.0-0.10","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","17","150651","0.0-6.0-0.0-0.11","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","18","153154","0.0-6.0-0.0-0.12","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","19","155659","0.0-6.0-0.0-0.13","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","20","158162","0.0-6.0-0.0-0.14","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","21","160666","0.0-6.0-0.0-0.15","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","22","163171","0.0-6.0-0.0-0.16","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","23","165674","0.0-6.0-0.0-0.17","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","24","168177","0.0-6.0-0.0-0.18","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","25","170680","0.0-6.0-0.0-0.19","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS8.png","","","","",""
"","survey-html-form","26","175967","0.0-6.0-1.0","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","4785.190000009607","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","179971","0.0-6.0-2.0-0.0","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","28","182474","0.0-6.0-2.0-0.1","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","29","184978","0.0-6.0-2.0-0.2","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","30","187481","0.0-6.0-2.0-0.3","vthrokdv3a","many_one","0","direct_first","1","er06us26","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS7.png","","","","",""
