"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","16017","0.0-0.0","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","60291","0.0-1.0","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","44244","text/information.html","","","","","","","","","","","","",""
"","external-html","2","91867","0.0-2.0","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","31515","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","142730","0.0-3.0","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","50857","","{""codeword_enter"":""er06es22""}","","","","","","","","","","","",""
"","survey-html-form","4","159881","0.0-4.0","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","17118","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","175283","0.0-5.0","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","15397","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","179308","0.0-6.0-0.0-0.0","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","7","181814","0.0-6.0-0.0-0.1","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","8","184324","0.0-6.0-0.0-0.2","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","9","186831","0.0-6.0-0.0-0.3","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","10","189337","0.0-6.0-0.0-0.4","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","11","191844","0.0-6.0-0.0-0.5","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","12","194351","0.0-6.0-0.0-0.6","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","13","196858","0.0-6.0-0.0-0.7","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","14","199388","0.0-6.0-0.0-0.8","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","15","201895","0.0-6.0-0.0-0.9","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","16","204401","0.0-6.0-0.0-0.10","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","17","206908","0.0-6.0-0.0-0.11","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","18","209416","0.0-6.0-0.0-0.12","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","19","211923","0.0-6.0-0.0-0.13","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","20","214431","0.0-6.0-0.0-0.14","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","21","216959","0.0-6.0-0.0-0.15","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","22","219466","0.0-6.0-0.0-0.16","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","23","221973","0.0-6.0-0.0-0.17","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","24","224480","0.0-6.0-0.0-0.18","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","25","226987","0.0-6.0-0.0-0.19","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","survey-html-form","26","231804","0.0-6.0-1.0","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","4314","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","235813","0.0-6.0-2.0-0.0","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","28","238319","0.0-6.0-2.0-0.1","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","29","240851","0.0-6.0-2.0-0.2","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","30","243371","0.0-6.0-2.0-0.3","gog79rk46k","one_one","1","indirect_first","0","er06es22","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
