"";"trial_index";"task";"subject";"condition2";"type";"category";"rt";"timeout";"memory";"memoryResp";"nr_pres";"memoryCorrect";"cs_selected"
"291";290;"memory2";"04ty3gjk9u";"one_one";"GSold";"4";"1256.4899999997579";"false";"new";0;"0";"correct";"4_2/CS3"
"294";293;"memory2";"04ty3gjk9u";"one_one";"GSold";"3";"962.7299999992829";"false";"new";0;"1";"correct";"3_2/CS9"
"297";296;"memory2";"04ty3gjk9u";"one_one";"GSold";"3";"610.6399999989662";"false";"new";0;"2";"correct";"3_2/CS4"
"300";299;"memory2";"04ty3gjk9u";"one_one";"GSold";"3";"931.5849999984493";"false";"new";0;"3";"correct";"3_2/CS6"
"303";302;"memory2";"04ty3gjk9u";"one_one";"distractor";NA;"1359.165000001667";"false";"new";0;"4";"correct";"distractor_2/dis2"
"306";305;"memory2";"04ty3gjk9u";"one_one";"GSold";"2";"1014.7200000064913";"false";"new";0;"5";"correct";"2_2/CS3"
"309";308;"memory2";"04ty3gjk9u";"one_one";"GSold";"2";"673.2450000126846";"false";"new";0;"6";"correct";"2_2/CS5"
"312";311;"memory2";"04ty3gjk9u";"one_one";"distractor";NA;"818.9799999963725";"false";"new";0;"7";"correct";"distractor_2/dis4"
"315";314;"memory2";"04ty3gjk9u";"one_one";"CS";"4";"668.8500000018394";"false";"old";1;"8";"correct";"4_2/CS8"
"318";317;"memory2";"04ty3gjk9u";"one_one";"distractor";NA;"497.6150000002235";"false";"new";0;"9";"correct";"distractor_2/dis3"
"321";320;"memory2";"04ty3gjk9u";"one_one";"CS";"3";"562.579999997979";"false";"old";1;"10";"correct";"3_2/CS2"
"324";323;"memory2";"04ty3gjk9u";"one_one";"GSold";"4";"565.4499999945983";"false";"new";0;"11";"correct";"4_2/CS6"
"327";326;"memory2";"04ty3gjk9u";"one_one";"GSold";"1";"513.0400000052759";"false";"new";0;"12";"correct";"1_2/CS6"
"330";329;"memory2";"04ty3gjk9u";"one_one";"CS";"2";"691.1099999997532";"false";"old";1;"13";"correct";"2_2/CS9"
"333";332;"memory2";"04ty3gjk9u";"one_one";"CS";"1";"683.0500000069151";"false";"new";0;"14";"incorrect";"1_2/CS9"
"336";335;"memory2";"04ty3gjk9u";"one_one";"GSold";"1";"715.4699999955483";"false";"new";0;"15";"correct";"1_2/CS1"
"339";338;"memory2";"04ty3gjk9u";"one_one";"GSold";"4";"615.6500000070082";"false";"new";0;"16";"correct";"4_2/CS4"
"342";341;"memory2";"04ty3gjk9u";"one_one";"distractor";NA;"723.9799999952083";"false";"new";0;"17";"correct";"distractor_2/dis1"
"345";344;"memory2";"04ty3gjk9u";"one_one";"GSold";"2";"660.8099999866681";"false";"new";0;"18";"correct";"2_2/CS2"
"348";347;"memory2";"04ty3gjk9u";"one_one";"GSold";"1";"524.9999999941792";"false";"new";0;"19";"correct";"1_2/CS8"
"993";290;"memory2";"0zq54143a6";"one_one";"GSold";"2";"752";"false";"new";0;"0";"correct";"2_2/CS7"
"996";293;"memory2";"0zq54143a6";"one_one";"distractor";NA;"820";"false";"new";0;"1";"correct";"distractor_2/dis2"
"999";296;"memory2";"0zq54143a6";"one_one";"CS";"1";"578";"false";"old";1;"2";"correct";"1_2/CS6"
"1002";299;"memory2";"0zq54143a6";"one_one";"GSold";"1";"573";"false";"new";0;"3";"correct";"1_2/CS5"
"1005";302;"memory2";"0zq54143a6";"one_one";"GSold";"4";"700";"false";"new";0;"4";"correct";"4_2/CS9"
"1008";305;"memory2";"0zq54143a6";"one_one";"GSold";"4";"624";"false";"new";0;"5";"correct";"4_2/CS10"
"1011";308;"memory2";"0zq54143a6";"one_one";"GSold";"3";"534";"false";"new";0;"6";"correct";"3_2/CS7"
"1014";311;"memory2";"0zq54143a6";"one_one";"GSold";"3";"530";"false";"new";0;"7";"correct";"3_2/CS10"
"1017";314;"memory2";"0zq54143a6";"one_one";"GSold";"1";"443";"false";"new";0;"8";"correct";"1_2/CS9"
"1020";317;"memory2";"0zq54143a6";"one_one";"CS";"3";"761";"false";"old";1;"9";"correct";"3_2/CS6"
"1023";320;"memory2";"0zq54143a6";"one_one";"distractor";NA;"566";"false";"new";0;"10";"correct";"distractor_2/dis3"
"1026";323;"memory2";"0zq54143a6";"one_one";"distractor";NA;"654";"false";"new";0;"11";"correct";"distractor_2/dis4"
